iter	Passed	Remaining
0	57	57646
1	57	28896
2	58	19312
3	58	14520
4	58	11649
5	58	9733
6	58	8364
7	59	7335
8	59	6539
9	59	5901
10	59	5377
11	59	4938
12	60	4569
13	60	4252
14	60	3978
15	60	3738
16	60	3525
17	61	3336
18	61	3167
19	61	3015
20	61	2878
21	61	2754
22	62	2640
23	62	2536
24	62	2440
25	62	2352
26	63	2270
27	63	2194
28	63	2123
29	63	2057
30	63	1995
31	64	1937
32	64	1882
33	64	1831
34	64	1783
35	64	1737
36	65	1694
37	65	1653
38	65	1614
39	65	1577
40	65	1542
41	66	1508
42	66	1477
43	66	1447
44	66	1418
45	67	1390
46	67	1363
47	67	1338
48	67	1314
49	67	1290
50	68	1267
51	68	1245
52	68	1224
53	68	1204
54	68	1184
55	69	1165
56	69	1148
57	69	1130
58	69	1112
59	69	1096
60	70	1080
61	70	1065
62	70	1049
63	70	1035
64	70	1021
65	71	1007
66	71	994
67	71	981
68	71	968
69	72	956
70	72	944
71	72	933
72	72	921
73	72	911
74	73	900
75	73	890
76	73	880
77	73	870
78	73	860
79	74	851
80	74	842
81	74	833
82	74	823
83	74	814
84	74	807
85	75	799
86	75	791
87	75	783
88	75	775
89	76	768
90	76	761
91	76	754
92	76	747
93	76	740
94	77	735
95	77	728
96	77	722
97	77	715
98	77	709
99	78	703
100	78	697
101	78	691
102	78	685
103	78	680
104	79	674
105	79	669
106	79	664
107	79	659
108	80	654
109	80	649
110	80	644
111	80	639
112	80	634
113	81	629
114	81	625
115	81	620
116	81	615
117	81	610
118	81	606
119	82	602
120	82	597
121	82	593
122	82	589
123	82	585
124	83	581
125	83	577
126	83	573
127	83	569
128	83	566
129	84	562
130	84	559
131	84	555
132	84	552
133	84	548
134	85	545
135	85	541
136	85	538
137	85	535
138	85	532
139	86	528
140	86	525
141	86	522
142	86	518
143	86	515
144	87	513
145	87	510
146	87	507
147	87	504
148	87	501
149	88	498
150	88	496
151	88	493
152	88	490
153	88	487
154	88	485
155	89	482
156	89	480
157	89	477
158	89	475
159	90	472
160	90	469
161	90	467
162	90	465
163	90	462
164	90	460
165	91	457
166	91	455
167	91	453
168	91	451
169	91	448
170	92	446
171	92	444
172	92	442
173	92	440
174	92	438
175	93	436
176	93	434
177	93	432
178	93	430
179	93	428
180	94	426
181	94	424
182	94	422
183	94	420
184	95	418
185	95	416
186	95	415
187	95	413
188	95	411
189	96	409
190	96	407
191	96	405
192	96	404
193	96	402
194	97	400
195	97	398
196	97	397
197	97	395
198	97	393
199	98	392
200	98	390
201	98	389
202	98	387
203	98	385
204	99	384
205	99	382
206	99	381
207	99	379
208	99	378
209	100	376
210	100	374
211	100	373
212	100	371
213	100	370
214	101	369
215	101	367
216	101	366
217	101	364
218	101	363
219	102	362
220	102	360
221	102	359
222	102	357
223	102	356
224	103	355
225	103	353
226	103	352
227	103	351
228	103	349
229	104	348
230	104	347
231	104	345
232	104	344
233	104	343
234	105	341
235	105	340
236	105	339
237	105	338
238	105	336
239	106	335
240	106	334
241	106	333
242	106	332
243	106	331
244	107	330
245	107	329
246	107	328
247	107	326
248	107	325
249	108	324
250	108	323
251	108	322
252	108	321
253	108	320
254	109	318
255	109	317
256	109	316
257	109	315
258	109	314
259	110	313
260	110	312
261	110	311
262	110	310
263	110	309
264	111	308
265	111	307
266	111	306
267	111	305
268	111	304
269	112	303
270	112	302
271	112	301
272	112	300
273	112	299
274	113	298
275	113	297
276	113	296
277	113	295
278	113	294
279	114	293
280	114	292
281	114	291
282	114	290
283	115	289
284	115	289
285	115	288
286	115	287
287	115	286
288	116	285
289	116	284
290	116	283
291	116	282
292	116	281
293	117	281
294	117	280
295	117	279
296	117	278
297	117	277
298	118	276
299	118	275
300	118	275
301	118	274
302	118	273
303	119	272
304	119	271
305	119	270
306	119	270
307	119	269
308	120	268
309	120	267
310	120	266
311	120	265
312	120	265
313	121	264
314	121	263
315	121	262
316	121	261
317	121	261
318	122	260
319	122	259
320	122	258
321	122	258
322	122	257
323	123	256
324	123	255
325	123	255
326	123	254
327	123	253
328	123	252
329	124	252
330	124	251
331	124	250
332	124	249
333	124	249
334	125	248
335	125	247
336	125	247
337	125	246
338	125	245
339	126	244
340	126	244
341	126	243
342	126	242
343	126	242
344	127	241
345	127	240
346	127	239
347	127	239
348	127	238
349	128	237
350	128	237
351	128	236
352	128	235
353	128	235
354	129	234
355	129	233
356	129	233
357	129	232
358	129	231
359	130	231
360	130	230
361	130	230
362	130	229
363	131	228
364	131	228
365	131	227
366	131	227
367	131	226
368	132	225
369	132	225
370	132	224
371	132	224
372	132	223
373	133	222
374	133	222
375	133	221
376	133	220
377	133	220
378	134	219
379	134	219
380	134	218
381	134	217
382	134	217
383	135	216
384	135	216
385	135	215
386	135	214
387	135	214
388	136	213
389	136	213
390	136	212
391	136	211
392	136	211
393	137	210
394	137	210
395	137	209
396	137	209
397	137	208
398	138	208
399	138	207
400	138	206
401	138	206
402	138	205
403	139	205
404	139	204
405	139	204
406	139	203
407	139	202
408	140	202
409	140	201
410	140	201
411	140	200
412	140	200
413	140	199
414	141	198
415	141	198
416	141	197
417	141	197
418	141	196
419	142	196
420	142	195
421	142	195
422	142	194
423	142	194
424	143	193
425	143	193
426	143	192
427	143	192
428	143	191
429	144	191
430	144	190
431	144	189
432	144	189
433	144	188
434	145	188
435	145	187
436	145	187
437	145	186
438	145	186
439	146	185
440	146	185
441	146	184
442	146	184
443	146	183
444	147	183
445	147	182
446	147	182
447	147	181
448	147	181
449	148	180
450	148	180
451	148	179
452	148	179
453	148	178
454	149	178
455	149	178
456	149	177
457	149	177
458	149	176
459	150	176
460	150	175
461	150	175
462	150	174
463	150	174
464	150	173
465	151	173
466	151	172
467	151	172
468	151	171
469	151	171
470	152	170
471	152	170
472	152	169
473	152	169
474	152	169
475	153	168
476	153	168
477	153	167
478	153	167
479	153	166
480	154	166
481	154	165
482	154	165
483	154	165
484	154	164
485	155	164
486	155	163
487	155	163
488	155	162
489	156	162
490	156	161
491	156	161
492	156	161
493	156	160
494	157	160
495	157	159
496	157	159
497	157	158
498	157	158
499	157	157
500	158	157
501	158	157
502	158	156
503	158	156
504	158	155
505	159	155
506	159	154
507	159	154
508	159	154
509	159	153
510	160	153
511	160	152
512	160	152
513	160	151
514	160	151
515	161	151
516	161	150
517	161	150
518	161	149
519	162	149
520	162	149
521	162	148
522	162	148
523	162	147
524	162	147
525	163	147
526	163	146
527	163	146
528	163	145
529	163	145
530	164	144
531	164	144
532	164	144
533	164	143
534	164	143
535	165	142
536	165	142
537	165	142
538	165	141
539	165	141
540	166	140
541	166	140
542	166	140
543	166	139
544	166	139
545	167	138
546	167	138
547	167	138
548	167	137
549	167	137
550	168	136
551	168	136
552	168	136
553	168	135
554	168	135
555	169	135
556	169	134
557	169	134
558	169	133
559	169	133
560	170	133
561	170	133
562	170	132
563	171	132
564	171	131
565	171	131
566	171	131
567	171	130
568	172	130
569	172	130
570	172	129
571	172	129
572	172	128
573	173	128
574	173	128
575	173	127
576	173	127
577	173	126
578	174	126
579	174	126
580	174	125
581	174	125
582	174	125
583	175	124
584	175	124
585	175	123
586	175	123
587	175	123
588	176	122
589	176	122
590	176	122
591	176	121
592	176	121
593	176	120
594	177	120
595	177	120
596	177	119
597	177	119
598	178	119
599	178	118
600	178	118
601	178	118
602	178	117
603	178	117
604	179	116
605	179	116
606	179	116
607	179	115
608	179	115
609	180	115
610	180	114
611	180	114
612	180	114
613	180	113
614	181	113
615	181	113
616	181	112
617	181	112
618	181	111
619	182	111
620	182	111
621	182	110
622	182	110
623	182	110
624	183	109
625	183	109
626	183	109
627	184	109
628	184	108
629	184	108
630	185	108
631	185	107
632	185	107
633	185	107
634	186	106
635	186	106
636	186	106
637	186	105
638	186	105
639	187	105
640	187	104
641	187	104
642	187	104
643	187	103
644	188	103
645	188	103
646	188	102
647	188	102
648	188	102
649	189	101
650	189	101
651	189	101
652	189	100
653	190	100
654	190	100
655	190	99
656	190	99
657	190	99
658	190	98
659	191	98
660	191	98
661	191	97
662	191	97
663	191	97
664	192	96
665	192	96
666	192	96
667	192	95
668	192	95
669	193	95
670	193	94
671	193	94
672	193	94
673	193	93
674	194	93
675	194	93
676	194	92
677	194	92
678	194	92
679	195	91
680	195	91
681	195	91
682	195	90
683	195	90
684	196	90
685	196	89
686	196	89
687	196	89
688	196	88
689	197	88
690	197	88
691	197	87
692	197	87
693	197	87
694	198	86
695	198	86
696	198	86
697	198	85
698	198	85
699	198	85
700	199	84
701	199	84
702	199	84
703	199	83
704	199	83
705	200	83
706	200	83
707	200	82
708	200	82
709	201	82
710	201	81
711	201	81
712	201	81
713	201	80
714	202	80
715	202	80
716	202	79
717	202	79
718	202	79
719	203	78
720	203	78
721	203	78
722	203	78
723	203	77
724	204	77
725	204	77
726	204	76
727	204	76
728	204	76
729	205	75
730	205	75
731	205	75
732	205	74
733	205	74
734	205	74
735	206	73
736	206	73
737	206	73
738	206	73
739	207	72
740	207	72
741	207	72
742	207	71
743	207	71
744	208	71
745	208	70
746	208	70
747	208	70
748	208	70
749	209	69
750	209	69
751	209	69
752	209	68
753	209	68
754	210	68
755	210	67
756	210	67
757	210	67
758	210	66
759	211	66
760	211	66
761	211	66
762	211	65
763	211	65
764	212	65
765	212	64
766	212	64
767	212	64
768	212	63
769	213	63
770	213	63
771	213	63
772	213	62
773	213	62
774	213	62
775	214	61
776	214	61
777	214	61
778	214	60
779	214	60
780	215	60
781	215	60
782	215	59
783	215	59
784	215	59
785	216	58
786	216	58
787	216	58
788	216	57
789	216	57
790	217	57
791	217	57
792	217	56
793	217	56
794	218	56
795	218	55
796	218	55
797	218	55
798	218	55
799	219	54
800	219	54
801	219	54
802	219	53
803	219	53
804	220	53
805	220	53
806	220	52
807	220	52
808	220	52
809	221	51
810	221	51
811	221	51
812	221	50
813	221	50
814	222	50
815	222	50
816	222	49
817	222	49
818	222	49
819	223	48
820	223	48
821	223	48
822	223	48
823	223	47
824	224	47
825	224	47
826	224	46
827	224	46
828	224	46
829	225	46
830	225	45
831	225	45
832	225	45
833	225	44
834	226	44
835	226	44
836	226	44
837	226	43
838	226	43
839	227	43
840	227	42
841	227	42
842	227	42
843	227	42
844	228	41
845	228	41
846	228	41
847	228	40
848	229	40
849	229	40
850	229	40
851	230	39
852	230	39
853	230	39
854	230	39
855	230	38
856	231	38
857	231	38
858	231	37
859	231	37
860	231	37
861	232	37
862	232	36
863	232	36
864	232	36
865	232	36
866	233	35
867	233	35
868	233	35
869	233	34
870	233	34
871	234	34
872	234	34
873	234	33
874	234	33
875	234	33
876	235	32
877	235	32
878	235	32
879	235	32
880	235	31
881	236	31
882	236	31
883	236	31
884	236	30
885	236	30
886	237	30
887	237	29
888	237	29
889	237	29
890	237	29
891	238	28
892	238	28
893	238	28
894	238	28
895	239	27
896	239	27
897	239	27
898	239	26
899	239	26
900	240	26
901	240	26
902	240	25
903	240	25
904	240	25
905	241	25
906	241	24
907	241	24
908	241	24
909	241	23
910	242	23
911	242	23
912	242	23
913	242	22
914	242	22
915	243	22
916	243	22
917	243	21
918	243	21
919	243	21
920	244	20
921	244	20
922	244	20
